Word,Count
/,1593
the,831
to,584
<param,476
<summary>,318
</summary>,309
for,284
a,273
of,249
in,247
and,196
this,193
=,183
if,182
group,177
is,163
we,133
If,120
it,109
examine,106
randomly,106
measure,100
Add,94
one,88
{,86
},86
The,85
codelet,80
with,76
an,76
are,75
analogy,74
or,73
which,70
Use,70
all,68
groups,66
octave,66
on,65
new,65
\Otherwise,\,64
from,63
note,63
//,62
\name="\parent"\></param>\,58
picks,57
\name="\slipnet"\></param>\,57
\name="\workspace"\></param>\,57
\name="\coderack"\></param>\,57
\name="\urgency"\></param>\,57
tell,56
add,56
constructer,56
\name="\notes"\></param>\,55
<returns></returns>,54
given,54
link,53
attention,52
none,52
TODO:,52
Check,51
select,50
+,50
\given,\,50
history,49
that,49
1,48
degree,48
have,48
0,48
codelets,45
measures,45
by,44
at,43
be,41
label,40
each,40
not,40
Middle,40
4th,39
Find,39
C,38
as,37
strength,36
Make,36
up,35
float,35
based,34
Look,33
same,33
2,33
between,33
alphabet,32
size,31
==,31
return,31
key,31
Returns,30
public,29
level,29
number,29
Draw,29
-,28
analogies,28
pitch,28
run,28
Try,27
find,27
assembly,27
#,27
first,26
private,26
Pick,26
just,26
try,25
Group,25
notes,25
set,24
any,24
previous,24
time,24
elements,23
scale,23
expected,23
list,23
start,23
code,23
sure,23
relationship,22
relationships,22
barline,22
type,22
///,22
This,22
test,22
out,21
major,21
already,21
use,21
too,21
LHS,21
used,21
Get,20
can,20
event,20
current,20
MIDI,19
*,19
do,19
return;,19
Compute,18
,18
A,18
has,18
TODO,18
existing,18
etc,18
offset,18
Normal,18
const,18
need,18
Set,18
20;,18
links,18
no,18
3rd,17
name,17
don't,17
it's,17
ACTIVATION_INCREASE_FOR_FEATURE,17
score,17
3,17
range,17
accidental,17
following,17
void,16
right,16
coderack,16
RHS,16
distance,16
foreach,16
int,16
end,16
element,15
5th,15
strong,15
so,15
reason,15
Version,15
Remove,15
gap,15
will,15
using,15
4,15
default,15
exists,14
true,14
other,14
<,14
more,14
B,14
string,14
class,14
length,14
get,14
attack,14
there,14
We,14
natural,14
else,14
node,13
5,13
should,13
here,13
make,13
where,13
you,13
version,13
value,13
method,13
case,13
only,13
values,13
minor,13
Required,12
structure,12
happiness,12
can't,12
tonic,12
Now,12
look,12
resources,12
update,12
old,12
workspace,12
100,12
modify,12
height,12
&&,12
final,12
For,12
7,11
Major,11
point,11
after,11
Verify,11
enough,11
input,11
starting,11
found,11
Cb,11
Build,11
total,11
above,11
\"\\,11
left,11
\workspace,\,11
i,11
activation,11
until,11
Lowered,11
they,11
was,10
two,10
break,10
First,10
COM,10
expectation,10
half,10
ComVisible,10
!=,10
attribute,10
into,10
0;,10
fight,10
\0,\,10
||,10
null),10
drawing,10
than,10
hierarchy,10
information,10
\coderack,\,10
like,10
Revision,10
subcomponents,10
Only,10
\now,\,10
file,10
now,10
unmapped,10
2nd,10
/</summary>,10
both,9
different,9
false,9
being,9
similarity,9
Parse,9
either,9
<=,9
parent,9
least,9
Minor,9
every,9
No,9
order,9
F,9
expectations,9
these,9
copy,9
structures,9
QF,9
Assign,9
when,9
Adds,9
through,8
Clean,8
but,8
keys,8
original,8
types,8
conflicts,8
Skip,8
such,8
another,8
attributes,8
-1,8
about,8
flats,8
Makes,8
contour,8
sets,8
\so,\,8
\measures,\,8
adjacent,8
urgency,8
components,8
draw,8
signature,8
7th,8
You,8
allowed,8
index,8
pair,8
higher,8
before,8
\group,\,8
then,8
shifted,8
its,8
Record,8
>=,8
G,8
points,8
Is,8
compute,8
QD,7
\exists,\,7
overlapping,7
back,7
correct,7
sharps,7
project,7
duration,7
max,7
whether,7
Measure,7
1st,7
color,7
prime,7
go,7
search,7
inside,7
going,7
double,7
MeasureLink,7
particular,7
necessary,7
m1,7
Return,7
possible,7
them,7
\strength,\,7
alphabets,7
\C,\,7
represents,7
within,7
+=,7
6,7
sharp,7
barlines,7
copies,7
ending,7
ID,7
remove,7
check,7
instead,7
\slipnet,\,7
Score,7
\list,\,7
Tonic,7
support,7
\1,\,7
good,7
Eb,6
Sort,6
neighbors,6
>,6
editor,6
many,6
15,6
comes,6
nodes,6
Reorder,6
must,6
false.</param>,6
Codelet,6
designer,6
variable,6
destroy,6
%,6
incoming,6
contents,6
Number,6
removed,6
\link,\,6
makes,6
(in,6
\RHS,\,6
/A,6
->,6
source,6
form,6
c,6
alone,6
Gb,6
static,6
(if,6
Note,6
disposed;,6
lookup,6
g,6
upbeat,6
recent,6
\name="\disposing"\>true\,6
------------------------------------------------------------------------------,6
output:,6
example,6
grouping,6
move,6
below:,6
\name="\a"\></param>\,6
out-of-order,6
interval,6
\groups,\,6
transition,6
unless,6
Apply,6
last,6
average,6
Designer,6
Create,6
reasons,6
Creates,6
0-based,6
while,6
involved,6
managed,6
D,6
(int,6
QE,6
how,6
random,6
down,6
\otherwise,\,6
fifths,5
Increment,5
maximum,5
duplicate,5
midi,5
Setting,5
Octave,5
normal,5
white,5
lengths,5
Change,5
\2,\,5
tmp,5
r,5
selected,5
x,5
Raise,5
Update,5
scoring,5
Strength,5
consider,5
stability,5
\TryToSetMeasureLabel(m,\,5
m,5
program,5
probability,5
running,5
GUID,5
exposed,5
controlled,5
\height,\,5
middle,5
visible,5
Information,5
1),5
shown,5
over,5
workspace.GetNextFormLabel(0));,5
might,5
scores,5
fights,5
F#,5
lost,5
Bb,5
specify,5
slipnet,5
handlers,5
Start,5
Destroy,5
their,5
pick,5
=>,5
object,5
may,5
towards,5
because,5
function,5
consists,5
rhythm,5
typelib,5
Go,5
Numbers,5
values:,5
\COM,\,5
mode,5
mapped,5
numbers,5
base,5
aren't,5
Analogy,5
ends,5
\links,\,5
General,5
y,5
mod,5
Summary,5
description,5
Note:,5
Convert,5
access,5
Do,5
pairs,5
stable,5
four,5
we're,5
subscribers,5
long,5
Raised,5
mapping,5
'*',5
Measures,5
exist,5
\found,\,5
prev,5
associated,5
root,5
N,5
\name="\g"\></param>\,5
\reason,\,5
\measure,\,5
include,4
also,4
p,4
\analogy,\,4
m.FormLabel,4
min,4
degrees,4
including,4
subsubscribed,4
consistent,4
multiple,4
\name="\bass"\></param>\,4
small,4
were,4
missing,4
without,4
crossing,4
Color,4
It,4
let,4
result,4
--,4
enharmonic,4
something,4
difference,4
Gets,4
call,4
E#,4
1;,4
beats,4
compete,4
doing,4
\relationship,\,4
span,4
null,4
needs,4
startGapScore,4
memory,4
alteration,4
i.e,4
Link,4
nothing,4
want,4
\octave,\,4
C#,4
IOI,4
Analogies,4
added,4
Initialize,4
etc.</param>,4
\DEFAULT_LABEL_STRENGTH,\,4
10,4
i++),4
constructor,4
duplication,4
button,4
backwards,4
throw,4
generated,4
most,4
future,4
lower,4
heights,4
appropriate,4
expect,4
\m,\,4
reasonably,4
Are,4
views,4
2;,4
keeping,4
Lost,4
|,4
linking,4
vivid,4
\note,\,4
region,4
Keep,4
decide,4
Run,4
Coderack,4
Represents,4
Send,4
text,4
100),4
\parent,\,4
containing,4
8,4
window,4
E,4
raised,4
done,4
tool,4
generate,4
scouts,4
your,4
m2,4
near,4
assign,4
truth,4
change,4
chord,4
less,4
transform,4
weights,4
defined,4
age,4
Post,4
top,4
later,4
testing,4
100;,4
Adjust,4
(0,4
6th,4
replaced,4
assume,4
stuff,4
listed,4
\AssemblyVersion("\1.0.*"\)]\,4
desired,4
cause,4
leave,4
Db,4
Finds,4
Groups,4
results,4
second,4
viewers,4
false;,4
special,4
Ab,4
\true,\,4
accidentals,4
\null,\,4
active,4
sum,4
\urgency,\,4
\D,\,4
\name="\reason"\></param>\,4
Move,4
activations,4
oldest,4
positive,4
[assembly:,4
m1.rhythm.AttackPoints.Count,4
group;,3
needed,3
concept,3
win,3
period,3
case:,3
dominant,3
beat,3
subgroups,3
g2,3
handle,3
\backwards,\,3
top-level,3
Constants.NUM_FEATURES;,3
\name="\k"\></param>\,3
linked,3
would,3
cumulative,3
write,3
Then,3
way,3
buttons,3
Otherwise,3
places,3
Also,3
\level,\,3
child,3
big,3
\3rd,\,3
slider,3
Each,3
prefered,3
j,3
Scale,3
C-based,3
weak,3
regenerated,3
this.group,3
survived,3
Final,3
similar,3
rhythmic,3
Bonus,3
Penalize,3
reasons...,3
indicates,3
Starts,3
removing,3
At,3
apply,3
amount,3
analogy's,3
circle,3
m2);,3
Generate,3
Need,3
Reset,3
longer,3
conflict,3
skip,3
Tries,3
forms,3
stats,3
\min,\,3
computed,3
clear,3
absolute,3
store,3
16th,3
create,3
Pitch,3
smooth,3
short,3
Between,3
penalty,3
triad,3
\relationships,\,3
Test,3
below,3
identical,3
CLASS,3
(r,3
sort,3
Changes,3
parallel,3
\stable,\,3
negative,3
</auto-generated>,3
I'm,3
Model,3
involving,3
searching,3
Copy,3
additional,3
clone,3
character,3
\different,\,3
\7th,\,3
2),3
incorrect,3
DEFINITION,3
\none,\,3
means,3
differences,3
restart,3
Calculate,3
conflicting,3
again,3
Time,3
Copies,3
exception,3
tie,3
\QG"\\,3
around,3
Given,3
match,3
half-steps,3
strength;,3
maxMeasure));,3
strenght,3
Utilities.rand.NextDouble(),3
behavior,3
side,3
does,3
work,3
parse,3
\major,\,3
metagroups,3
0),3
<auto-generated>,3
groups/analogies,3
reset,3
distinct,3
updating,3
Workspace,3
Sets,3
stored,3
relatinoship,3
loop,3
terms,3
Constructor,3
making,3
resource,3
groupelement,3
\name,\,3
ties,3
\However,\,3
e.ToString());,3
started,3
ScaleDegree,3
even,3
\MessageBox.Show("\Exception\,3
(excluding,3
closeness,3
Spacing,3
adding,3
TODODODODODODOODODODODODODO,3
left-to-right,3
melody,3
logic,3
earlier,3
quality,3
ground,3
contain,3
break;,3
m),3
Runtime,3
seems,3
Finally,3
Must,3
deletion,3
slipnet),3
Utilities.ObjectValuePair,3
100%,3
works,3
Just,3
linear,3
\size,\,3
larger,3
affecting,3
btnRefresh,3
data,3
specified,3
\name="\group"\></param>\,3
graph,3
Should,3
Compare,3
\yet,\,3
weight,3
rests,3
setting,3
against,3
starts,3
B#,3
true;,3
gets,3
provides,3
distribution,3
pitchclass,3
END,3
prefer,3
Search,3
unaffected,3
context,3
won,3
Static,3
lowered,3
Clear,3
diff,3
children,3
maybe,3
table,3
G#,3
colors,3
\sort,\,3
been,3
LTM,3
otherwise,3
(including,3
direction,3
\upbeat,\,3
2x,2
send,2
16;,2
Leave,2
Going,2
(a,2
goals,2
Divide,2
DEFAULT_LABEL_STRENGTH);,2
recussitation,2
\natural,\,2
link;,2
m1.rhythm.AttackPoints[idxFirstNote];,2
(m1.hasParent,2
pastels,2
Tabletop,2
1.0,2
Slipnet,2
probabilistically,2
label),2
free,2
pastel,2
button's,2
7);,2
\name="\preferSharps"\>If\,2
instances,2
viewGroupEvent;,2
representation,2
\name="\?"\></param>\,2
factors,2
\ninth,\,2
Fight,2
\active,\,2
[TestCleanup()],2
GroupTest,2
still,2
\TryToMakeNewMeasureLabel(m,\,2
subgroup,2
flag,2
nothing;,2
indexing,2
Second,2
\(2,3,\,2
Unit,2
\base("\Measure\,2
lines,2
\name="\r"\></param>\,2
todo,2
ClassInitialize,2
\pitch,\,2
\this,\,2
maximal,2
EventHandler<ViewGroupEventArgs>,2
\Grouper"\,\,2
area,2
notehead,2
ScaleDegrees,2
count,2
rhythms,2
\class,\,2
Match,2
border,2
tuple.Item2;,2
And,2
\minor,\,2
Magnetism,2
/This,2
used),2
subcomponent,2
Decrease,2
\it),\,2
1</param>,2
pickup,2
corresponds,2
groupReason.reasonWeight;,2
QGb,2
BEFORE,2
items,2
List,2
initial,2
related,2
1);,2
table:,2
sides,2
weak;,2
\far,\,2
g1...,2
Grab,2
vs,2
(a.MinLocation,2
filled,2
internal,2
curTime,2
\"\a"\\,2
(m2.rhythm.AttackPoints.Count,2
represent,2
\node,\,2
\Major"\,\,2
delete,2
link.strength);,2
inputs,2
letter;,2
\name="\callingCodelet"\></param>\,2
some,2
(or,2
step,2
conflicts............??,2
tests:,2
position,2
hit,2
member,2
False,2
Gravity,2
.375,2
ASCII,2
intended,2
QEb,2
changing,2
those,2
-1;,2
leaarning,2
[ClassCleanup()],2
durations,2
account,2
To,2
\name="\nodeName"\></param>\,2
\away,\,2
n,2
temp,2
\G,\,2
Utilities.PickItemWeightedReturnPair(pairs);,2
\Alphabet.GetConsistentAlphabetsForScaleDegrees(degrees,\,2
a',2
\SetMeasureLabel(m,\,2
\analogies,\,2
\colors,\,2
True,2
thirds,2
[ClassInitialize()],2
\name="\ge1"\></param>\,2
Special,2
'A',2
this.reasonStrength,2
(a.MaxLocation,2
\7,\,2
\name="\ge2"\></param>\,2
Case,2
\"\Ab\,2
object's,2
verify,2
put,2
QC,2
\name="\max"\></param>\,2
(Alphabet,2
\name="\size"\></param>\,2
16,2
\Major"\\,2
MeasureTest,2
number.</param>,2
System.Drawing.Drawing2D.LineCap.Flat;,2
\difference,\,2
Weights,2
remaining,2
SettingsSaving,2
differences),2
New,2
\lowest-scoring,\,2
circle-of-fifths,2
\lose,\,2
label);,2
large,2
representing,2
Penalities,2
single-character,2
Computes,2
<returns>True,2
Alteration.None));,2
\"\beat"\\,2
\parents,\,2
\testing"\);\,2
levels,2
\Utilities.LogtoFile("\******************************\,2
\3/4,\,2
\name="\strength1"\>Strength\,2
m1.MeasureDuration,2
prune,2
known,2
steep,2
strenghts,2
decay,2
\all,\,2
Don't,2
Thread.Sleep(5);,2
true)],2
edit,2
recomputing,2
available,2
Element,2
undefined,2
\Now,\,2
12,2
empty,2
TODO!!!,2
perceived,2
\FeatureScoutCodelet(50,\,2
take,2
box,2
line,2
label;,2
single,2
subelements,2
clipping,2
*largest*,2
fastest,2
Prefer,2
\"\relationship"\\,2
requested,2
/to,2
\4/4,\,2
\F,\,2
button;,2
units,2
proposed,2
differently,2
cOffset,2
/information,2
TestCleanup,2
followed,2
\Also,\,2
Show,2
1-16,2
location,2
m2.hasParent),2
instance,2
MyClassInitialize(TestContext,2
Fb,2
frmGroupScroes!:,2
\"\phase"\\,2
\"\fixed"\\,2
(found,2
magnitude,2
\triad,\,2
\name="\maxMeasure"\></param>\,2
\offset,\,2
chords,2
takes,2
[TestMethod],2
bonus,2
rate:,2
Age,2
indicated,2
looking,2
override,2
Converts,2
fix,2
workspace.AddGroup(tmpG);,2
fitting,2
wins,2
note1offset,2
MeasureSamenessGrouperCodelet(int,2
coderack.AddCodelet(c);,2
array,2
huge,2
Eval,2
\Downbeat"\);\,2
argument,2
along,2
16ths,2
supporting,2
\missing,\,2
\workspace.RecordCodeletAttentionHistory(this,\,2
',2
\"\Relationship"\\,2
group),2
measures),2
reason...,2
sequence,2
range:,2
isn't,2
Used,2
adjacency,2
0-1,2
bool,2
we'll,2
root;,2
tree,2
foundIdentical,2
Done,2
\True,\,2
workspace.PickRandomMeasureLinkByRecencyAndStrength();,2
\"\)'"\;\,2
black,2
(m.FormLabel,2
very,2
duplicates,2
halfway,2
subtracted,2
[TestInitialize()],2
\-1,\,2
labeling,2
approx,2
Cache,2
\number,\,2
\empty,\,2
TODO>,2
+measureBorderX;,2
metagroup,2
finding,2
\"\C:\,2
1st-order,2
\point,\,2
once,2
\above,\,2
notes),2
saved,2
named,2
\20,\,2
flags,2
\"\prime"\\,2
\label,\,2
\key,\,2
pointers,2
avoid,2
highest-scoring,2
groupReason.reasonStrength;,2
(Measure,2
Decide,2
Dictionary,2
(groundTruthTesting),2
stop,2
1m,2
_detail,2
\gap,\,2
\already,\,2
:,2
MyTestInitialize(),2
datapoints,2
255,2
testContext),2
newGroup;,2
mappings,2
GetAttackPointLevels,2
\LHS,\,2
30,2
degrees.Add(new,2
former,2
letter,2
\"\F#\,2
ResGen,2
considered,2
\scale,\,2
contours,2
critical,2
screenshot,2
increment,2
inverse,2
main,2
maps,2
showed,2
this.reasonWeight,2
\sb.Append("\\,2
insertion,2
gives,2
workspace.barlineStrengths[i],2
g1,2
Current,2
close,2
Conflict,2
b.MinLocation),2
\measureWidth,\,2
linkSource;,2
transposition,2
matches,2
deal,2
starting/ending,2
our,2
LHS/RHS,2
members,2
non-overlapping!!,2
(they,2
\name="\midiNumber"\>The\,2
Completeness,2
events,2
used.</param>,2
\name="\accidental"\>The\,2
Initializes,2
\CodeletAttribute.CodeletWorkType.Create,\,2
output,2
50%,2
sorted,2
rectangle,2
used;,2
\name="\startPoint"\></param>\,2
\name="\strength2"\>Strength\,2
recorded,2
Links,2
dont',2
wrapping,2
functionality,2
urgencies,2
criterion,2
unused,2
We're,2
\"\);\,2
(handle,2
(skipping,2
Maybe,2
origianl,2
\Minor"\,\,2
Calculates,2
buffer,2
Notes,2
Returned,2
changed,2
In,2
ExpectedGroup,2
75,2
never,2
math,2
score),2
2</param>,2
other.FormLabel,2
a.Strength,2
upper,2
Ignore,2
\name="\codelet"\></param>\,2
high,2
(frmCoderack.Updating),2
\repeat,\,2
\example,\,2
\signature,\,2
\name="\key"\></param>\,2
decides,2
randoml.y,2
\name="\analogies"\></param>\,2
track,2
allow,2
(1.0,2
ratio,2
pos,2
compeltely,2
\4),\,2
ignored,2
become,2
result),2
\"\("\\,2
Natural,2
perception,2
quit,2
specific,2
MelodyContour,2
(1,2
setting's,2
\"\white\,2
len,2
MyClassCleanup(),2
\newLHS,\,2
ever,2
7</param>,2
\conflicts,\,2
\"\True"\\,2
gray,2
OOI,2
everything,2
part,2
\name="\minMeasure"\></param>\,2
\name="\accidental"\></param>\,2
disabled,2
natural;,2
stronger,2
item,2
greater,2
closest,2
place,2
b.MaxLocation),2
\A,\,2
Sameness,2
via,2
width,2
\"\E\,2
MyTestCleanup(),2
hold,2
collection,2
post,2
target,2
Does,2
type),2
link.m2,2
redraw,2
\triad"\;\,2
references,2
note2offset,2
invalid,2
kill,2
\happy,\,2
GetAlphabetsWithLikelihoods,2
Weight:,2
section,2
save,2
\name="\scaleDegrees"\></param>\,2
100.0,2
Size,2
curve,2
Prepare,2
speed,2
sigmoid,2
exact,2
bottom,2
Similarity,2
g2.Level),2
r.AddNote(5);,2
m2.rhythm.AttackPoints[0],2
boxes,2
idxFirstNote),2
DIV,2
high-level,2
valid,2
Temperley,2
away,2
//////////////,2
GroupReason(GroupReason,2
probabilitically,2
(link,2
(this,2
METHODS,2
idxFirstNote,2
magnetism,2
Write,2
resolve,2
typical,2
opposite,2
anything,2
show,2
Version:4.0.30319.269,2
Application.DoEvents();,2
Tests,2
accurate,2
Inertia,2
ClassCleanup,2
Console.WriteLine(a.ToString());,2
yet,2
TestInitialize,2
leaving,2
endpoints),2
rival,2
features,2
group's,2
linkDest;,2
hierarhcy,2
us,2
goal,2
automatically,2
extra,2
more?,2
symbolY,2
Validate,2
startGapScore;,2
\B,\,2
simply,2
etc.),2
Picks,2
initialize,2
reached,2
due,2
m.FormLabelStrength,2
hierarchical,2
(similarity,2
\version"\\,2
groups),2
note.</param>,2
//MetaGroupStrength;,2
So,2
strength),2
real,2
/Gets,2
MAX_HEIGHT,2
\0-1,\,2
Weaken,2
third,2
4a,2
Estimate,2
runs,2
tests,2
Records,2
\location,\,2
substructure,2
C4,2
steps,2
2a,2
Improve,2
\name="\numStackedThirds"\>Set\,2
.8,2
fully,2
\Similarly,\,2
onset,2
unset,1
PitchClassTests,1
\a.Strength,\,1
\workspace.PickGroupInRange(minMeasure,\,1
\(Utilities.FightItOut(g2.ComputeStrength(),\,1
times,1
List<ExpectedGroup>();,1
\name="\sourceMeasure"\></param>\,1
ones,1
Increase,1
//0.6,1
\key"\\,1
lblCodeletsKilled,1
Melody,1
\left-to-right,\,1
(other.FormLabel[other.FormLabel.Length,1
\meta.ComputeStrength(),\,1
\commands,\,1
\sigmoid,\,1
conflicts;,1
constructors,1
score2,1
multiplier,1
PropertyChanged,1
et,1
symbolOffsetY;,1
currently,1
lblCodeletNum,1
(the,1
disregarding,1
let's,1
compare,1
nextID++;,1
Minor:,1
rack,1
Index,1
1-3,1
competing,1
Math.Min(40,1
newRHS;,1
G4,1
ideas,1
workspace.measureLinks),1
\compile-time,\,1
\name="\gapMin"\></param>\,1
sizes/types,1
bottom-level),1
(2.0,1
coderack.AddCodelet(pgc);,1
MoveHeightTowardsStrength(measureIndex);,1
timestamp,1
(newGroup,1
hiearachy,1
.1,1
((link.m1,1
1-3:,1
Abb,1
\preferable,\,1
(with,1
adjusted,1
conceptualDepth/100.0f;,1
\name="\measureIndex"\></param>\,1
68,1
workspace.MaxLocation,1
Offset,1
ALPHA,1
skipping,1
workspace.PickRandomGroupElementByRecency();,1
create.</param>,1
to-run,1
gen,1
Tracks,1
Weight,1
rebuild,1
problems,1
declaration),1
3);,1
1-character,1
\grandchild,\,1
use:,1
brush,1
analogies:,1
ALPHA;,1
overlaps,1
exepctations,1
staticC,1
\Command-line,\,1
(j,1
72,1
NUM_CODELETS_TILL_NEW_HIGH_LEVEL,1
\featureWidth*1.5f,\,1
\strings,\,1
Codelets,1
\3+2),\,1
http://www.codeproject.com/KB/miscctrl/quickgraph.aspx,1
\//disabled_codelet_names.Add("\Linear\,1
metalink,1
thicknesses,1
cac,1
GetWorkingRange(int,1
\//disabled.Add("\Find\,1
heights),1
weights;,1
Never,1
midpoint,1
(buttonData,1
\name="\y1"\></param>\,1
3-5:,1
user-specified,1
\ConceptInstance(p.ConceptNode,\,1
txtInputMeasures,1
MelodyContour(g2);,1
buttonData,1
\42,\,1
delimeted,1
\E,\,1
'\''),1
GroupElement,1
SettingChanging,1
pile,1
(parent,1
order;,1
considering,1
2b,1
rNew;,1
Melanie's,1
\'B',\,1
settings,1
likely,1
\sharps,\,1
rel,1
processing,1
competitor,1
Average,1
(aug,1
entire,1
fine;,1
\draw,\,1
m2.FormLabel);,1
\name="\alteration"\>The\,1
orignal,1
c.Age,1
happened,1
Correct,1
\FindNewLHSRHS(r,\,1
50,1
\Finally,\,1
modification,1
100-distance,1
MeasureSamenessGrouperCodelet,1
Regular,1
expressed,1
disabled;,1
compeete,1
Dx,1
EventHandler<EventArgs>(frmMain_closeEvent);,1
this.linkSource,1
longer),1
group..,1
DetailLevel,1
It's,1
selectedLink.strength),1
kind,1
detail,1
GroupReason,1
\name="\weight"\>The\,1
major/a,1
Probability,1
groupElement,1
powers-of-two,1
label2,1
Name,1
\between,\,1
Reset();,1
\+1!,\,1
weaker,1
Tally,1
useSharps,1
(RHS,1
254,1
rewindow,1
CodeletAttribute,1
overshot,1
penalties,1
m2.FormLabel.Contains(primeForm2)),1
past,1
(ConceptNode,1
super-old:,1
(i.e,1
reasons..,1
\.5,\,1
staff,1
B.</param>,1
own,1
same-level/same-size,1
passes,1
(Math.Abs(g2.GroupElements.Count,1
Include,1
\sides,\,1
Normalize,1
\values,\,1
Conctructor,1
RHS.,1
screaming!,1
breaks,1
\structure,\,1
\name="\sizeRHS"\></param>\,1
\attention,\,1
Dump,1
system,1
1/4,1
\recent,\,1
form-close,1
VS,1
textBox1,1
List<Analogy>,1
connection),1
Great,1
Feature.On:,1
salience,1
worldview)),1
(MeasureLink,1
<remarks>,1
A#,1
rotated,1
mc1,1
analogously,1
this.SettingChangingEventHandler;,1
standard,1
label9,1
circles,1
Recursively,1
btnPause,1
a.Name,1
-7;,1
somehow,1
aStable.Name;,1
\parameter,\,1
PitchClass,1
Metagroup,1
atomically,1
\disabled.Add("\Generate\,1
ge2,1
Enhances,1
\"\a"\;\,1
Implemented,1
t.FullName);,1
workspace.measures),1
MeasueLinks,1
Real,1
selectedLink);,1
uniform,1
ComputeRecentPeriod(maxHeightIdx);,1
Max,1
Iterate,1
\name="\scaleDegree"\>1\,1
(recursive),1
p.CustomEndCap,1
(taking,1
\name="\name"\>Uppercase\,1
increase,1
\8/4,\,1
\9,\,1
(Note:,1
recussitated,1
SettingChangingEvent,1
Updates,1
newGroup,1
alterations),1
metagroups),1
g;,1
marked,1
\alteration,\,1
\unmapped,\,1
force,1
\DrawRelationship(graphics,\,1
\sometimes,\,1
auto-generated,1
//aTriad.Name,1
one's,1
pgc,1
replaces,1
non-stable,1
activated,1
columns,1
tmpG.AddGroupReason(new,1
anologies,1
created,1
interval.</param>,1
CurrentUICulture,1
link),1
gropus,1
this.Controls.Remove(bag.button);,1
Separate,1
resent,1
(g1.hasParent,1
(for,1
\name="\keyString"\>Format\,1
1/16,1
stabilty,1
(pairs.Count,1
Arguments,1
GroupReasonComponentsIdentical(g);,1
rescale,1
upbeatOffset),1
34,1
n2,1
compared,1
\"\reverse"\\,1
sourceMeasure,1
artificial,1
directly,1
non-0,1
\name="\n1"\></param>\,1
children.,1
#expected,1
Other,1
List<Utilities.ObjectValuePair>,1
Duration,1
downbeats,1
measureHeight,1
versions,1
.5,1
this...........,1
path,1
(Measure)e;,1
(e,1
happinessBoxTopMax,1
